Ind,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,Prog,Url
14,2023,Ajaccio,Ligue 1,Qazim Laçi,ALB,MF,26-299,1996,2.3,111,140,79.3,2278,691,44,54,81.5,43,49,87.8,21,31,67.7,0,0.2,0.4,-0.2,3,18,1,0,14,https://fbref.com/en/players/eb0db257/Qazim-Laci
15,2023,Ajaccio,Ligue 1,Benjamin Leroy,FRA,GK,33-221,1989,13.1,201,334,60.2,6783,5803,22,22,100,90,92,97.8,89,218,40.8,0,0,0,0,0,5,0,0,0,https://fbref.com/en/players/1e7aea56/Benjamin-Leroy
16,2023,Ajaccio,Ligue 1,Thomas Mangani,FRA,MF,35-199,1987,5.8,273,392,69.6,5595,1900,102,123,82.9,111,154,72.1,51,101,50.5,1,1.1,1,-0.1,15,40,4,1,32,https://fbref.com/en/players/c801616a/Thomas-Mangani
17,2023,Ajaccio,Ligue 1,Vincent Marchetti,FRA,MF,25-133,1997,13.3,461,568,81.2,7947,2363,209,243,86,168,196,85.7,54,84,64.3,1,0.9,0.8,0.1,8,58,8,0,48,https://fbref.com/en/players/740f00ac/Vincent-Marchetti
18,2023,Ajaccio,Ligue 1,Fernand Mayembo,CGO,DF,26-309,1996,3.2,119,134,88.8,2322,441,41,48,85.4,60,63,95.2,16,20,80,0,0,0,0,0,1,0,0,0,https://fbref.com/en/players/b20cc590/Fernand-Mayembo
19,2023,Ajaccio,Ligue 1,Bevic Moussiti-Oko,CGO,FW,27-290,1995,5.4,52,98,53.1,708,120,27,47,57.4,16,33,48.5,3,7,42.9,0,0.1,0.3,-0.1,3,5,1,0,2,https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko
20,2023,Ajaccio,Ligue 1,Riad Nouri,FRA,MF,37-160,1985,8.1,208,299,69.6,3301,1117,113,143,79,70,94,74.5,17,41,41.5,1,1.5,1.6,-0.5,14,15,10,9,14,https://fbref.com/en/players/374fbf7d/Riad-Nouri
21,2023,Ajaccio,Ligue 1,Ghjuvanni Quilichini,FRA,GK,20-074,2002,0.9,14,34,41.2,511,427,1,1,100,5,5,100,8,28,28.6,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini
22,2023,Ajaccio,Ligue 1,François-Joseph Sollacaro,FRA,GK,28-238,1994,1,9,13,69.2,200,121,3,3,100,3,4,75,3,6,50,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro
23,2023,Ajaccio,Ligue 1,Kevin Spadanuda,SUI,"MF,FW",25-302,1997,5.1,90,113,79.6,1336,206,51,63,81,31,38,81.6,3,6,50,0,0.1,0.1,-0.1,3,9,0,0,4,https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda
24,2023,Ajaccio,Ligue 1,Yoann Touzghar,TUN,FW,35-351,1986,2.7,46,70,65.7,523,70,39,49,79.6,6,11,54.5,0,1,0,0,0,0.1,0,0,3,0,0,1,https://fbref.com/en/players/4e47507a/Yoann-Touzghar
25,2023,Ajaccio,Ligue 1,Clément Vidal,FRA,DF,22-149,2000,6.4,251,310,81,5434,2310,63,74,85.1,132,152,86.8,50,75,66.7,0,0.2,0.5,-0.2,1,27,1,1,22,https://fbref.com/en/players/b2791a55/Clement-Vidal
26,2023,Ajaccio,Ligue 1,Mohamed Youssouf,COM,DF,34-233,1988,9.4,393,538,73,6246,2987,211,238,88.7,136,184,73.9,34,85,40,0,0.6,1,-0.6,9,36,15,11,39,https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf
27,2023,Almería,La Liga,Sergio Akieme,ESP,DF,24-333,1997,14,455,582,78.2,7700,2698,226,258,87.6,180,214,84.1,36,72,50,0,0.7,0.9,-0.7,9,23,9,8,22,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
28,2023,Almería,La Liga,Srđan Babić,SRB,DF,26-206,1996,12.5,493,563,87.6,9832,3589,154,160,96.3,272,298,91.3,61,92,66.3,0,0.2,0.2,-0.2,4,21,2,1,20,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
29,2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",30-080,1992,6.3,119,182,65.4,1985,601,51,67,76.1,46,65,70.8,12,28,42.9,1,0.6,0.6,0.4,8,7,5,2,12,https://fbref.com/en/players/35f6db55/Leo-Baptistao
30,2023,Almería,La Liga,El Bilal Touré,MLI,FW,21-042,2001,6.3,67,103,65,812,84,48,66,72.7,16,25,64,0,0,NA,1,0.4,0.3,0.6,4,2,1,0,2,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
31,2023,Almería,La Liga,Juan Brandáriz,ESP,DF,23-257,1999,4.3,174,199,87.4,2790,976,84,87,96.6,83,91,91.2,5,12,41.7,0,0,0.1,0,0,16,2,1,9,https://fbref.com/en/players/2475cf9b/Juan-Brandariz
32,2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26-271,1996,0.2,3,4,75,49,2,2,3,66.7,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
33,2023,Almería,La Liga,Samu Costa,POR,MF,21-352,2000,8.5,285,359,79.4,5453,1511,119,136,87.5,123,139,88.5,39,62,62.9,0,0.3,0.5,-0.3,5,17,1,0,23,https://fbref.com/en/players/76c2a023/Samu-Costa
34,2023,Almería,La Liga,Curro,ESP,MF,26-315,1996,0.5,21,28,75,310,133,10,12,83.3,4,6,66.7,3,4,75,0,0.2,0.2,-0.2,2,1,1,0,1,https://fbref.com/en/players/f9a225f5/Curro
35,2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30-252,1992,5.5,244,291,83.8,4334,1577,117,131,89.3,95,106,89.6,27,40,67.5,1,0.5,0.8,0.5,6,29,7,1,27,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
36,2023,Almería,La Liga,Rodrigo Ely,BRA,DF,29-011,1993,13.7,482,581,83,10723,4131,104,118,88.1,296,316,93.7,79,139,56.8,0,0,0.1,0,1,18,0,0,10,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
37,2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30-191,1992,4.7,104,165,63,2075,519,41,52,78.8,42,60,70,18,35,51.4,3,1.5,0.7,1.5,11,8,3,1,14,https://fbref.com/en/players/db8f0eba/Adri-Embarba
38,2023,Almería,La Liga,Fernando,ESP,GK,32-157,1990,13,341,474,71.9,9639,6729,45,46,97.8,188,192,97.9,106,233,45.5,0,0,0,0,0,4,0,0,0,https://fbref.com/en/players/dabb2827/Fernando
39,2023,Almería,La Liga,Kaiky,BRA,DF,18-306,2004,5.4,140,173,80.9,2797,1079,47,51,92.2,68,76,89.5,21,38,55.3,0,0,0,0,0,11,1,0,9,https://fbref.com/en/players/55634fb8/Kaiky
40,2023,Almería,La Liga,César de la Hoz,ESP,MF,30-229,1992,6.5,171,209,81.8,3201,1166,76,84,90.5,68,81,84,24,35,68.6,0,0.2,0.1,-0.2,2,26,3,1,17,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
41,2023,Almería,La Liga,Lázaro,BRA,"MF,FW",20-247,2002,2.3,61,75,81.3,874,296,37,41,90.2,15,21,71.4,5,7,71.4,0,0.1,0.1,-0.1,4,11,2,1,4,https://fbref.com/en/players/86ff856b/Lazaro
42,2023,Almería,La Liga,Gonzalo Melero,ESP,MF,28-316,1994,6,203,229,88.6,3447,758,92,103,89.3,83,91,91.2,21,24,87.5,2,0.5,0.4,1.5,7,24,3,0,21,https://fbref.com/en/players/3902e91b/Gonzalo-Melero
43,2023,Almería,La Liga,Houboulang Mendes,FRA,DF,24-194,1998,5.5,129,186,69.4,1948,787,75,83,90.4,41,63,65.1,9,28,32.1,1,0.3,0.2,0.7,4,7,3,2,5,https://fbref.com/en/players/1545cf15/Houboulang-Mendes
44,2023,Almería,La Liga,Marko Milovanović,SRB,FW,19-102,2003,0.2,4,9,44.4,53,7,1,2,50,2,4,50,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/1fda2b14/Marko-Milovanovic
45,2023,Almería,La Liga,Fernando Pacheco,ESP,GK,30-180,1992,1,20,31,64.5,617,423,2,2,100,10,11,90.9,8,17,47.1,0,0,0,0,0,1,0,0,0,https://fbref.com/en/players/97852360/Fernando-Pacheco
46,2023,Almería,La Liga,Francisco Portillo,ESP,"MF,FW",32-154,1990,2.2,112,140,80,1735,690,61,72,84.7,39,46,84.8,9,14,64.3,0,0.1,0.6,-0.1,1,20,7,1,23,https://fbref.com/en/players/8e010ff4/Francisco-Portillo
47,2023,Almería,La Liga,Alejandro Pozo Pozo,ESP,DF,23-265,1999,6.4,252,350,72,4285,1734,123,138,89.1,94,115,81.7,27,63,42.9,1,1.1,0.5,-0.1,7,19,7,6,21,https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo
48,2023,Almería,La Liga,Arnau Puigmal,ESP,"MF,DF",21-308,2001,2.7,79,109,72.5,1170,477,49,58,84.5,25,36,69.4,5,12,41.7,0,0.1,0.1,-0.1,3,5,3,0,9,https://fbref.com/en/players/39352da2/Arnau-Puigmal
49,2023,Almería,La Liga,Largie Ramazani,BEL,FW,21-260,2001,8.9,112,170,65.9,1868,474,60,84,71.4,39,54,72.2,11,16,68.8,0,0.5,0.8,-0.5,7,13,7,0,14,https://fbref.com/en/players/cc9256ef/Largie-Ramazani
50,2023,Almería,La Liga,Lucas Robertone,ARG,MF,25-241,1997,11.3,338,444,76.1,5843,1798,169,188,89.9,115,139,82.7,41,91,45.1,1,1.3,1.3,-0.3,15,32,13,3,33,https://fbref.com/en/players/a8981944/Lucas-Robertone
51,2023,Almería,La Liga,Umar Sadiq,NGA,FW,25-285,1997,2.7,22,36,61.1,254,34,11,15,73.3,8,11,72.7,0,0,NA,0,0.2,0.1,-0.2,3,0,1,0,2,https://fbref.com/en/players/686cbe7d/Umar-Sadiq
52,2023,Almería,La Liga,Dyego Sousa,POR,FW,33-061,1989,3.4,64,92,69.6,856,196,34,48,70.8,25,30,83.3,1,4,25,1,0.8,0.8,0.2,5,0,3,0,7,https://fbref.com/en/players/e4738e91/Dyego-Sousa
53,2023,Angers,Ligue 1,Himad Abdelli,FRA,"MF,FW",22-362,1999,2.6,112,142,78.9,1953,525,47,58,81,47,59,79.7,14,18,77.8,0,0.5,0.1,-0.5,6,14,4,0,15,https://fbref.com/en/players/7978cbf0/Himad-Abdelli
54,2023,Angers,Ligue 1,Ibrahim Amadou,FRA,"DF,MF",29-222,1993,4.5,152,175,86.9,2895,1168,48,51,94.1,90,95,94.7,12,23,52.2,0,0.1,0,-0.1,1,3,0,0,3,https://fbref.com/en/players/9260926b/Ibrahim-Amadou
55,2023,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,32-203,1990,4.2,134,170,78.8,2322,937,58,63,92.1,62,78,79.5,11,21,52.4,0,0.3,0.3,-0.3,3,15,2,2,8,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba
56,2023,Angers,Ligue 1,Nabil Bentaleb,ALG,MF,27-355,1994,11.9,588,752,78.2,11369,3887,217,256,84.8,276,320,86.3,83,146,56.8,1,0.8,1,0.2,12,68,2,0,57,https://fbref.com/en/players/3189f61a/Nabil-Bentaleb
57,2023,Angers,Ligue 1,Paul Bernardoni,FRA,GK,25-210,1997,7,141,207,68.1,3943,2925,27,29,93.1,72,73,98.6,41,103,39.8,0,0,0,0,0,5,0,0,0,https://fbref.com/en/players/28dabd43/Paul-Bernardoni
58,2023,Angers,Ligue 1,Miha Blažič,SVN,DF,29-190,1993,9.5,479,547,87.6,9702,3788,152,163,93.3,256,276,92.8,63,96,65.6,0,0,0.1,0,0,24,2,0,29,https://fbref.com/en/players/3cdfc63e/Miha-Blazic
59,2023,Angers,Ligue 1,Antonin Bobichon,FRA,MF,27-061,1995,0.2,12,20,60,204,75,5,9,55.6,5,6,83.3,2,3,66.7,0,0.1,0.1,-0.1,1,6,1,0,1,https://fbref.com/en/players/7d937aa1/Antonin-Bobichon
60,2023,Angers,Ligue 1,Sofiane Boufal,MAR,"FW,MF",29-058,1993,7.9,289,384,75.3,4501,1303,157,191,82.2,100,130,76.9,21,40,52.5,3,2.7,1.7,0.3,24,27,9,1,36,https://fbref.com/en/players/b0c71810/Sofiane-Boufal
61,2023,Angers,Ligue 1,Ousmane Camara,FRA,DF,19-253,2003,2,116,124,93.5,2304,852,29,30,96.7,75,80,93.8,11,13,84.6,0,0,0,0,0,5,0,0,4,https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara
62,2023,Angers,Ligue 1,Pierrick Capelle,FRA,"MF,DF",35-213,1987,6.5,221,281,78.6,3824,1214,96,116,82.8,97,114,85.1,18,34,52.9,1,0.3,0.4,0.7,3,18,4,2,25,https://fbref.com/en/players/79b2399c/Pierrick-Capelle
63,2023,Angers,Ligue 1,Ilyes Cheti,ALG,DF,27-296,1995,0.6,42,48,87.5,719,152,17,19,89.5,19,19,100,4,7,57.1,0,0.2,0,-0.2,1,5,0,0,1,https://fbref.com/en/players/9d498560/Ilyes-Cheti
64,2023,Angers,Ligue 1,Lois Diony,FRA,FW,29-329,1992,4.9,90,115,78.3,1000,187,58,66,87.9,15,21,71.4,1,2,50,0,0.3,0.2,-0.3,5,5,2,1,3,https://fbref.com/en/players/4be0b467/Lois-Diony
65,2023,Angers,Ligue 1,Souleyman Doumbia,CIV,"DF,FW",26-051,1996,11.9,424,522,81.2,6159,2009,252,287,87.8,140,172,81.4,17,38,44.7,0,0.8,0.8,-0.8,7,22,7,5,19,https://fbref.com/en/players/9daeac61/Souleyman-Doumbia
66,2023,Angers,Ligue 1,Yahia Fofana,FRA,GK,22-085,2000,8,174,245,71,4668,3353,30,30,100,87,88,98.9,56,126,44.4,0,0,0,0,0,2,0,0,0,https://fbref.com/en/players/9d420dad/Yahia-Fofana
67,2023,Angers,Ligue 1,Cédric Hountondji,BEN,DF,28-299,1994,14.9,535,613,87.3,10042,3731,191,205,93.2,291,327,89,47,68,69.1,0,0.2,0.1,-0.2,2,18,3,0,26,https://fbref.com/en/players/00891164/Cedric-Hountondji
68,2023,Angers,Ligue 1,Adrien Hunou,FRA,"FW,MF",28-299,1994,12.1,255,346,73.7,3775,1100,130,168,77.4,98,122,80.3,9,19,47.4,1,1.7,0.5,-0.7,9,19,7,0,25,https://fbref.com/en/players/d14229f3/Adrien-Hunou
69,2023,Angers,Ligue 1,Marin Jakoliš,CRO,FW,25-323,1996,0.3,4,7,57.1,63,31,1,1,100,3,5,60,0,1,0,0,0,0.2,0,0,1,0,0,1,https://fbref.com/en/players/96f4ebc0/Marin-Jakolis
70,2023,Angers,Ligue 1,Farid El Melali,ALG,"DF,FW",25-193,1997,2.1,48,69,69.6,732,218,25,33,75.8,21,30,70,1,2,50,0,0.1,0.1,-0.1,2,5,1,0,4,https://fbref.com/en/players/d21e361a/Farid-El-Melali
71,2023,Angers,Ligue 1,Batista Mendy,FRA,"MF,DF",22-306,2000,11.5,417,495,84.2,7376,2734,168,193,87,198,222,89.2,37,55,67.3,0,0.2,0.3,-0.2,4,49,5,1,45,https://fbref.com/en/players/e472a6f6/Batista-Mendy
72,2023,Angers,Ligue 1,Azzedine Ounahi,MAR,"MF,FW",22-209,2000,12.2,513,595,86.2,8328,2619,270,296,91.2,177,201,88.1,45,65,69.2,0,1.6,1.8,-1.6,17,66,12,1,59,https://fbref.com/en/players/83299cc0/Azzedine-Ounahi
73,2023,Angers,Ligue 1,Halid Šabanović,BIH,"DF,FW",23-084,1999,2.9,114,141,80.9,1699,663,63,70,90,37,48,77.1,6,12,50,0,0,0,0,0,12,2,1,8,https://fbref.com/en/players/8299e363/Halid-Sabanovic
74,2023,Angers,Ligue 1,Amine Salama,FRA,FW,22-119,2000,5.9,92,128,71.9,1227,292,50,64,78.1,30,41,73.2,2,3,66.7,1,0.3,1,0.7,4,5,5,0,7,https://fbref.com/en/players/bc7cc472/Amine-Salama
75,2023,Angers,Ligue 1,Abdallah Sima,SEN,FW,21-150,2001,6.2,81,114,71.1,872,258,42,56,75,19,31,61.3,1,2,50,0,0.8,0.9,-0.8,6,5,3,1,7,https://fbref.com/en/players/fdbde523/Abdallah-Sima
76,2023,Angers,Ligue 1,Waniss Taibi,FRA,MF,20-252,2002,1.5,94,107,87.9,1427,356,45,52,86.5,41,43,95.3,3,4,75,1,0.1,0.2,0.9,1,4,2,0,9,https://fbref.com/en/players/95192fe4/Waniss-Taibi
77,2023,Angers,Ligue 1,Sada Thioub,SEN,"FW,MF",27-166,1995,4.7,179,224,79.9,2683,943,92,105,87.6,71,85,83.5,6,14,42.9,1,1.1,0.7,-0.1,7,24,8,2,25,https://fbref.com/en/players/f4bc42b1/Sada-Thioub
78,2023,Angers,Ligue 1,Yan Valery,TUN,"DF,FW",23-265,1999,7.4,211,292,72.3,3414,1359,102,125,81.6,79,102,77.5,19,42,45.2,0,0.3,0.2,-0.3,2,10,3,2,13,https://fbref.com/en/players/531a4aa8/Yan-Valery
79,2023,Arsenal,Premier League,Gabriel Dos Santos,BRA,DF,24-330,1997,14,788,879,89.6,14875,5377,300,316,94.9,422,453,93.2,64,97,66,0,0.2,0.2,-0.2,1,63,2,0,35,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos
80,2023,Arsenal,Premier League,Mohamed Elneny,EGY,MF,30-126,1992,1.1,54,56,96.4,944,179,23,23,100,25,26,96.2,5,5,100,0,0,0,0,0,3,2,0,2,https://fbref.com/en/players/47a34c4f/Mohamed-Elneny
81,2023,Arsenal,Premier League,Rob Holding,ENG,DF,27-055,1995,0.2,5,5,100,103,21,1,1,100,4,4,100,0,0,NA,0,0,0,0,0,0,0,0,1,https://fbref.com/en/players/d79a8c87/Rob-Holding
82,2023,Arsenal,Premier League,Gabriel Jesus,BRA,FW,25-225,1997,13.5,325,402,80.8,4807,1068,176,207,85,113,128,88.3,17,25,68,5,2.8,1.7,2.2,22,23,12,1,25,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
83,2023,Arsenal,Premier League,Marquinhos,BRA,FW,19-221,2003,0,2,3,66.7,34,5,1,2,50,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/59878425/Marquinhos
84,2023,Arsenal,Premier League,Martinelli,BRA,FW,21-149,2001,13.1,338,454,74.4,5562,1309,176,197,89.3,119,148,80.4,35,72,48.6,2,3.3,2.7,-1.3,23,17,25,3,45,https://fbref.com/en/players/48a5a5d6/Martinelli
85,2023,Arsenal,Premier League,Reiss Nelson,ENG,FW,22-339,1999,0.7,35,39,89.7,407,63,24,25,96,6,7,85.7,2,2,100,1,0.1,0.2,0.9,2,0,2,1,1,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson
86,2023,Arsenal,Premier League,Eddie Nketiah,ENG,"FW,MF",23-168,1999,1.7,42,50,84,633,88,26,29,89.7,14,15,93.3,2,4,50,0,0.2,0.1,-0.2,3,1,2,0,4,https://fbref.com/en/players/a53649b7/Eddie-Nketiah
87,2023,Arsenal,Premier League,Ethan Nwaneri,ENG,MF,15-238,2007,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
88,2023,Arsenal,Premier League,Thomas Partey,GHA,MF,29-154,1993,10.7,623,719,86.6,10775,3446,283,312,90.7,265,295,89.8,59,85,69.4,0,0.6,0.6,-0.6,9,76,8,0,59,https://fbref.com/en/players/529f49ab/Thomas-Partey
89,2023,Arsenal,Premier League,Aaron Ramsdale,ENG,GK,24-184,1998,14,281,408,68.9,7548,5294,70,74,94.6,128,130,98.5,83,203,40.9,0,0,0,0,0,11,1,0,2,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
90,2023,Arsenal,Premier League,Bukayo Saka,ENG,FW,21-070,2001,13,401,512,78.3,5915,1358,252,282,89.4,102,129,79.1,33,58,56.9,6,2.9,2,3.1,29,16,23,7,27,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
91,2023,Arsenal,Premier League,William Saliba,FRA,DF,21-235,2001,13.8,866,940,92.1,15848,6021,328,343,95.6,472,503,93.8,57,74,77,1,0.9,0.2,0.1,3,41,2,0,33,https://fbref.com/en/players/972aeb2a/William-Saliba
92,2023,Arsenal,Premier League,Albert Sambi Lokonga,BEL,MF,23-023,1999,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0,0.1,0,1,17,1,0,9,https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga
93,2023,Arsenal,Premier League,Emile Smith Rowe,ENG,"MF,FW",22-109,2000,0.6,19,22,86.4,279,75,9,9,100,7,7,100,2,3,66.7,0,0.3,0.2,-0.3,3,1,2,0,2,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
94,2023,Arsenal,Premier League,Cédric Soares,POR,DF,31-075,1991,0.3,19,24,79.2,257,54,10,10,100,8,10,80,0,3,0,0,0,0,0,0,0,0,0,1,https://fbref.com/en/players/839c14e1/Cedric-Soares
95,2023,Arsenal,Premier League,Kieran Tierney,SCO,DF,25-162,1997,3.9,180,241,74.7,3451,1163,69,80,86.3,88,109,80.7,21,40,52.5,0,0.1,0.2,-0.1,2,24,5,1,22,https://fbref.com/en/players/fce2302c/Kieran-Tierney
96,2023,Arsenal,Premier League,Takehiro Tomiyasu,JPN,DF,24-009,1998,4.6,236,285,82.8,4182,1456,96,109,88.1,115,135,85.2,21,32,65.6,0,0.1,0.1,-0.1,2,31,5,2,24,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
97,2023,Arsenal,Premier League,Fabio Vieira,POR,MF,22-168,2000,2.7,97,124,78.2,1463,337,57,62,91.9,33,41,80.5,4,12,33.3,1,1.1,0.8,-0.1,4,11,4,1,8,https://fbref.com/en/players/6412cc03/Fabio-Vieira
98,2023,Arsenal,Premier League,Ben White,ENG,DF,25-037,1997,12.8,726,866,83.8,12495,4400,333,365,91.2,338,381,88.7,47,94,50,2,1.1,1.4,0.9,11,100,17,5,60,https://fbref.com/en/players/35e413f1/Ben-White
99,2023,Arsenal,Premier League,Granit Xhaka,SUI,MF,30-048,1992,13,541,647,83.6,8818,2470,265,304,87.2,215,242,88.8,47,61,77,3,1.8,1.5,1.2,20,68,10,1,47,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
100,2023,Arsenal,Premier League,Oleksandr Zinchenko,UKR,DF,25-334,1996,6.2,368,421,87.4,5902,1734,186,196,94.9,159,187,85,14,25,56,1,0.4,0.7,0.6,4,41,7,2,28,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
101,2023,Arsenal,Premier League,Martin Ødegaard,NOR,MF,23-332,1998,11.9,461,592,77.9,6937,2044,251,291,86.3,148,192,77.1,36,58,62.1,2,2.6,2.9,-0.6,25,43,25,1,53,https://fbref.com/en/players/79300479/Martin-Odegaard
102,2023,Aston Villa,Premier League,Cameron Archer,ENG,"FW,MF",20-340,2001,0.5,8,12,66.7,108,44,5,5,100,3,5,60,0,0,NA,0,0,0,0,0,2,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
103,2023,Aston Villa,Premier League,Ludwig Augustinsson,SWE,DF,28-207,1994,0.6,14,24,58.3,241,118,7,9,77.8,4,8,50,2,5,40,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson
